row,col,deg,state,res
1,0,135,0,-1
2,1,165,3,1
2,1,26,1,-1
2,2,51,0,-1
1,15,128,2,-1
2,2,45,3,-1
1,10,135,0,1
1,16,51,2,-1
1,8,26,0,-1
2,13,36,3,-1
1,2,26,3,-1
1,17,51,3,-1
1,11,26,3,1
2,11,26,3,-1
1,6,153,2,-1
1,3,143,2,-1
1,13,51,2,-1
2,11,51,4,-1
1,13,51,3,-1
2,9,51,3,-1
2,16,45,1,-1
2,3,14,1,1
1,4,51,3,-1
2,16,36,0,-1
1,7,36,0,-1
2,5,36,2,-1
2,18,153,0,-1
1,8,165,2,-1
1,14,14,3,-1
1,16,135,2,-1
1,5,153,1,-1
1,11,14,2,1
1,2,165,2,1
2,5,51,2,-1
1,18,135,1,-1
2,3,45,0,-1
2,17,135,1,-1
2,1,14,2,1
2,9,51,4,-1
1,12,165,0,-1
1,14,36,1,-1
2,8,26,4,-1
2,17,143,2,1
2,13,36,4,-1
2,11,14,0,-1
2,3,165,3,-1
1,11,36,6,1
1,3,51,2,-1
1,17,128,1,-1
2,1,51,2,1
1,16,36,2,-1
2,7,14,0,1
2,2,128,1,1
2,10,36,6,-1
2,2,45,4,1
2,10,165,0,-1
2,9,143,0,1
2,6,165,4,-1
1,7,14,1,1
2,3,165,4,1
1,13,26,1,-1
1,11,128,1,-1
2,5,14,0,1
1,2,26,4,-1
1,1,128,2,1
1,6,51,5,1
1,11,128,2,1
2,9,51,5,-1
1,11,51,2,-1
1,14,51,5,-1
1,17,51,4,-1
2,9,51,6,1
2,13,36,5,1
2,3,51,2,-1
1,16,36,3,1
2,0,51,2,1
2,13,143,1,1
1,14,26,0,-1
2,7,153,2,-1
2,12,36,1,-1
1,16,14,4,-1
1,10,26,3,-1
1,6,153,3,-1
2,7,51,2,-1
1,19,128,0,-1
2,16,165,2,-1
2,7,165,1,-1
1,16,14,5,1
1,17,51,5,1
1,0,128,1,-1
1,18,128,4,1
2,2,51,1,-1
2,14,128,2,-1
1,5,51,3,-1
2,18,165,0,-1
2,11,26,4,1
2,5,51,3,-1
2,10,165,1,-1
2,15,26,2,-1
1,5,36,4,-1
1,2,36,5,1
1,1,165,0,-1
1,12,45,5,-1
2,9,26,1,-1
2,0,165,2,-1
1,5,51,4,1
2,11,165,5,-1
2,12,26,2,-1
1,9,153,0,-1
2,12,36,2,-1
2,4,51,0,-1
2,7,51,3,-1
2,2,14,1,1
2,4,45,1,-1
1,13,153,0,-1
2,2,26,0,-1
1,14,26,1,-1
2,13,45,3,-1
1,17,135,1,-1
2,9,45,3,-1
2,12,135,1,-1
1,12,45,6,1
2,10,36,7,1
1,6,45,1,-1
1,15,26,0,-1
2,12,165,4,-1
2,18,165,1,-1
1,12,153,0,-1
1,13,45,5,-1
1,11,14,2,-1
1,12,128,0,-1
1,6,153,4,1
1,6,26,1,-1
2,16,153,0,1
1,5,153,2,-1
2,10,26,1,-1
2,1,153,2,-1
1,10,26,4,1
1,9,36,4,-1
2,6,45,3,-1
1,12,165,1,-1
1,13,26,2,1
1,17,165,4,-1
1,8,153,2,-1
2,11,153,1,1
2,11,51,5,-1
2,14,51,3,-1
1,8,51,5,-1
2,16,51,4,-1
1,8,45,2,-1
1,12,153,1,1
2,14,45,6,1
2,15,14,1,-1
2,16,51,5,-1
1,13,51,4,-1
1,16,51,3,-1
1,13,51,5,-1
2,11,36,2,-1
2,12,51,6,-1
1,15,51,6,1
1,9,51,6,1
2,12,51,7,-1
2,15,51,3,-1
1,14,51,6,1
2,18,51,2,-1
2,7,141,1,1
1,2,158,0,-1
2,10,30,1,-1
1,1,21,1,-1
1,1,168,0,-1
2,18,38,0,-1
1,6,38,0,-1
1,3,149,0,-1
2,17,21,0,1
1,16,30,1,-1
2,9,149,0,-1
1,11,168,0,-1
1,11,141,0,1
2,16,141,0,-1
1,15,38,0,-1
2,4,149,1,-1
1,11,168,1,-1
2,1,149,0,-1
1,18,11,0,-1
2,12,11,1,-1
1,1,149,0,-1
1,17,168,2,-1
1,5,11,0,-1
2,2,11,0,1
1,8,45,3,-1
1,10,158,0,-1
1,10,21,1,-1
1,12,168,1,-1
2,6,141,1,1
2,12,45,7,1
1,11,45,4,-1
2,13,45,4,-1
1,10,11,5,-1
1,11,21,0,-1
2,17,141,1,-1
2,3,168,0,1
2,16,45,2,-1
1,5,30,1,-1
2,18,168,0,-1
2,17,11,2,-1
1,10,168,2,1
1,2,168,0,-1
1,3,149,1,-1
1,8,141,0,-1
1,17,38,1,-1
1,1,149,1,-1
2,1,141,2,-1
2,2,11,0,-1
1,17,38,2,-1
2,8,30,2,-1
2,5,21,0,-1
1,0,158,0,-1
1,5,158,0,-1
1,3,149,2,-1
1,9,149,1,-1
2,18,149,1,-1
2,6,11,0,-1
2,2,38,1,-1
1,8,149,0,-1
2,7,168,0,-1
1,10,11,6,1
2,5,135,1,1
1,10,141,0,1
1,15,141,1,-1
2,3,11,1,1
1,7,168,0,1
1,6,11,1,-1
1,11,38,0,-1
1,9,21,0,-1
2,12,11,2,-1
2,12,149,0,1
1,9,158,0,-1
2,5,45,5,1
2,8,158,2,-1
1,5,30,2,-1
2,5,21,1,-1
2,6,158,0,-1
1,1,168,1,1
2,8,45,5,-1
1,18,38,2,-1
2,1,141,3,1
2,8,149,0,-1
1,3,168,0,1
1,3,21,0,-1
2,5,158,3,-1
1,18,158,0,-1
2,10,45,7,-1
2,14,30,0,-1
2,8,45,6,1
2,17,30,0,-1
1,13,141,0,-1
